tx	gene_id	MCIC_FC_2024_111	MCIC_FD_2024_105	MCIC_FD_2024_204	MCIC_MD_2024_109	MCIC_MD_2024_113	MCIC_MD_2024_116
gnl|WGS:JAKSZP|L0F63_000295-T1_mrna	L0F63_000295	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_000296-T1_mrna	L0F63_000296	0	0	0	0.165647	0	0
unassigned_transcript_7	L0F63_000320	0	0	0	0	0	0
unassigned_transcript_8	L0F63_000378	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_000402-T1_mrna	L0F63_000402	17.499803	29.640491	11.522924	26.631249	21.736359	17.166472
gnl|WGS:JAKSZP|L0F63_000427-T1_mrna	L0F63_000427	25.996211	0	135.717356	0.126082	9.89942	43.982009
gnl|WGS:JAKSZP|L0F63_000428-T1_mrna	L0F63_000428	312.437754	495.381227	139.105494	850.489863	234.385394	194.447542
unassigned_transcript_9	L0F63_000443	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_000469-T1_mrna	L0F63_000469	53.124585	78.672464	59.92028	75.087989	91.310378	57.542198
gnl|WGS:JAKSZP|L0F63_000497-T1_mrna	L0F63_000497	235.83003	368.567421	164.581555	354.880877	217.822089	227.395745
unassigned_transcript_10	L0F63_000520	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_000545-T1_mrna	L0F63_000545	66.126229	82.752968	85.858515	78.125351	74.483299	78.869802
gnl|WGS:JAKSZP|L0F63_000565-T1_mrna	L0F63_000565	37.299989	76.587913	33.918044	90.522165	46.091387	57.476065
unassigned_transcript_11	L0F63_000566	0	0	0	0	0	0
unassigned_transcript_12	L0F63_000567	0	0	0	0	0	0
unassigned_transcript_13	L0F63_000568	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_000606-T1_mrna	L0F63_000606	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_000607-T1_mrna	L0F63_000607	99.797979	40.62697	80.672566	33.218103	203.320661	111.028436
unassigned_transcript_14	L0F63_000608	0	0	0	0	0	0
unassigned_transcript_15	L0F63_000632	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_000633-T1_mrna	L0F63_000633	40.615497	100.569732	30.563586	83.478679	38.877687	36.002271
gnl|WGS:JAKSZP|L0F63_000658-T1_mrna	L0F63_000658	117.654022	266.89953	32.536429	277.291098	102.423258	83.860185
unassigned_transcript_16	L0F63_000659	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_000690-T1_mrna	L0F63_000690	54.436487	121.506395	34.409231	112.688765	44.28897	45.0891
gnl|WGS:JAKSZP|L0F63_000713-T1_mrna	L0F63_000713	1.170867	0.266452	1.76341	1.134456	3.728074	1.292629
unassigned_transcript_17	L0F63_000732	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_000733-T1_mrna	L0F63_000733	4.806642	11.860184	0.658176	12.514703	2.13305	1.285056
unassigned_transcript_18	L0F63_000741	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_000742-T1_mrna	L0F63_000742	6.339029	8.370173	5.388018	4.315546	9.712039	6.350781
gnl|WGS:JAKSZP|L0F63_000788-T1_mrna	L0F63_000788	0	0.845965	0	0	0	0
gnl|WGS:JAKSZP|L0F63_000789-T1_mrna	L0F63_000789	18.903165	55.031294	24.800222	55.359196	35.487019	14.886484
unassigned_transcript_19	L0F63_000790	0	0	0	0	0	0
unassigned_transcript_20	L0F63_000791	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_000792-T1_mrna	L0F63_000792	0	0.877633	1.569647	1.964694	0	0.268156
gnl|WGS:JAKSZP|L0F63_000809-T1_mrna	L0F63_000809	204.205293	176.332408	168.749272	172.817325	156.818332	233.005699
gnl|WGS:JAKSZP|L0F63_000810-T1_mrna	L0F63_000810	38.080777	64.264606	32.432212	48.648904	37.197489	39.688377
gnl|WGS:JAKSZP|L0F63_000811-T1_mrna	L0F63_000811	23.346168	55.480218	18.784038	73.981265	35.538546	24.140111
gnl|WGS:JAKSZP|L0F63_000832-T1_mrna	L0F63_000832	87.202127	123.95792	36.983685	105.352371	99.705421	72.459373
gnl|WGS:JAKSZP|L0F63_000852-T1_mrna	L0F63_000852	804.928714	945.876178	737.186872	1014.967289	547.5375	585.503956
gnl|WGS:JAKSZP|L0F63_000853-T1_mrna	L0F63_000853	32.169874	71.493807	12.548464	61.938004	19.57672	27.973349
gnl|WGS:JAKSZP|L0F63_000874-T1_mrna	L0F63_000874	6.314426	11.061776	12.296275	9.463246	20.398832	15.646902
unassigned_transcript_21	L0F63_000911	0	0	0	0	0	0
unassigned_transcript_22	L0F63_000932	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_000933-T1_mrna	L0F63_000933	237.65949	231.269085	252.536826	214.254078	193.39389	233.924387
unassigned_transcript_23	L0F63_000982	0	0	0	0	0	0
unassigned_transcript_24	L0F63_000983	0	0	0	0	0	0
unassigned_transcript_25	L0F63_000995	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_001014-T1_mrna	L0F63_001014	39.71873	58.823499	18.975712	43.847007	48.009724	49.719372
gnl|WGS:JAKSZP|L0F63_001015-T1_mrna	L0F63_001015	0	10.041301	0	2.562792	0	1.775537
gnl|WGS:JAKSZP|L0F63_001056-T1_mrna	L0F63_001056	48.722734	106.69091	28.590491	93.033574	33.13361	33.662215
gnl|WGS:JAKSZP|L0F63_001057-T1_mrna	L0F63_001057	63.210609	130.844174	38.344677	110.269484	37.725237	45.151951
gnl|WGS:JAKSZP|L0F63_001058-T1_mrna	L0F63_001058	91.545472	158.524533	110.521645	198.252775	135.782298	88.539445
gnl|WGS:JAKSZP|L0F63_001070-T1_mrna	L0F63_001070	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_001071-T1_mrna	L0F63_001071	139.331624	213.929749	148.131242	243.395983	145.929537	105.05085
gnl|WGS:JAKSZP|L0F63_001158-T1_mrna	L0F63_001158	13.665191	78.199211	5.283154	61.113907	22.948109	9.967895
gnl|WGS:JAKSZP|L0F63_001159-T1_mrna	L0F63_001159	188.264227	146.984591	269.725427	125.737442	248.249113	254.35958
gnl|WGS:JAKSZP|L0F63_001176-T1_mrna	L0F63_001176	38.977229	110.568928	59.910965	149.450967	97.320984	41.419934
gnl|WGS:JAKSZP|L0F63_001177-T1_mrna	L0F63_001177	7.779024	16.165603	6.867111	14.30311	8.458639	3.474982
gnl|WGS:JAKSZP|L0F63_001178-T1_mrna	L0F63_001178	11.04426	25.675702	1.177262	136.827349	2.150801	0.963719
unassigned_transcript_26	L0F63_001179	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_001190-T1_mrna	L0F63_001190	83.363247	400.144557	153.373598	805.987061	16.782717	38.21978
gnl|WGS:JAKSZP|L0F63_001205-T1_mrna	L0F63_001205	299.177098	804.218443	199.886398	420.354219	283.079341	287.081159
gnl|WGS:JAKSZP|L0F63_001227-T1_mrna	L0F63_001227	73.907454	112.587023	35.95226	88.219859	66.938089	59.554389
unassigned_transcript_27	L0F63_001228	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_001258-T1_mrna	L0F63_001258	67.624546	91.009478	30.425926	101.299907	48.843121	59.348069
gnl|WGS:JAKSZP|L0F63_001259-T1_mrna	L0F63_001259	277.287593	545.755743	106.82595	549.865219	156.573956	199.421848
unassigned_transcript_28	L0F63_001279	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_001303-T1_mrna	L0F63_001303	0.148208	2.408169	0	1.930554	0	0
gnl|WGS:JAKSZP|L0F63_001325-T1_mrna	L0F63_001325	73.101324	62.683311	65.724229	72.925577	75.091749	36.07903
unassigned_transcript_29	L0F63_001354	0	0	0	0	0	0
unassigned_transcript_30	L0F63_001355	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_001370-T1_mrna	L0F63_001370	87.820201	446.813985	27.476935	360.950437	53.273654	44.715777
unassigned_transcript_31	L0F63_001415	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_001445-T1_mrna	L0F63_001445	0	9.558355	0.668664	84.03925	0	1.034246
gnl|WGS:JAKSZP|L0F63_001457-T1_mrna	L0F63_001457	268.244989	296.842741	259.543821	338.529163	278.561962	302.003481
unassigned_transcript_32	L0F63_001458	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_001474-T1_mrna	L0F63_001474	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_001492-T1_mrna	L0F63_001492	273.346868	799.417518	65.187	1181.523315	331.642484	161.30123
gnl|WGS:JAKSZP|L0F63_001493-T1_mrna	L0F63_001493	663.583154	2031.25871	164.924075	2505.017143	860.370533	370.262792
gnl|WGS:JAKSZP|L0F63_001494-T1_mrna	L0F63_001494	372.779307	320.877403	132.51881	301.571486	218.324029	318.200737
gnl|WGS:JAKSZP|L0F63_001518-T1_mrna	L0F63_001518	26.054134	44.690222	7.966551	34.31612	17.755085	14.344431
gnl|WGS:JAKSZP|L0F63_001519-T1_mrna	L0F63_001519	180.887544	144.863979	283.163014	106.30227	246.358038	236.016678
gnl|WGS:JAKSZP|L0F63_001611-T1_mrna	L0F63_001611	59.162125	87.762632	26.987983	72.25851	58.307931	50.030087
gnl|WGS:JAKSZP|L0F63_001612-T1_mrna	L0F63_001612	27.195641	63.87676	24.772938	30.625931	40.307671	29.424448
gnl|WGS:JAKSZP|L0F63_001631-T1_mrna	L0F63_001631	273.531247	150.656072	277.639827	140.784538	515.999317	310.48769
gnl|WGS:JAKSZP|L0F63_001632-T1_mrna	L0F63_001632	51.628403	138.84564	21.959494	116.445403	42.242533	42.036933
gnl|WGS:JAKSZP|L0F63_001672-T1_mrna	L0F63_001672	19.814999	15.076749	4.415043	16.846935	11.830509	11.609729
gnl|WGS:JAKSZP|L0F63_001673-T1_mrna	L0F63_001673	20.366202	40.713798	9.401435	33.322724	16.891524	18.981265
gnl|WGS:JAKSZP|L0F63_001743-T1_mrna	L0F63_001743	1.428361	0	0	1.093742	5.137224	0
gnl|WGS:JAKSZP|L0F63_001744-T1_mrna	L0F63_001744	55.270916	80.305652	51.05769	65.437156	88.543586	49.143179
unassigned_transcript_33	L0F63_001777	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_001793-T1_mrna	L0F63_001793	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_001806-T1_mrna	L0F63_001806	87.433232	126.535479	105.957266	105.760206	140.48791	105.890033
unassigned_transcript_34	L0F63_001807	0	0	0	0	0	0
unassigned_transcript_35	L0F63_001808	0	0	0	0	0	0
unassigned_transcript_36	L0F63_001827	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_001869-T1_mrna	L0F63_001869	13.951451	63.7007	10.660481	106.752511	17.64333	7.668534
gnl|WGS:JAKSZP|L0F63_001896-T1_mrna	L0F63_001896	1.105386	0.945044	8.556927	1.03506	1.519301	1.401323
unassigned_transcript_37	L0F63_001910	0	0	0	0	0	0
unassigned_transcript_38	L0F63_001924	0	0	0	0	0	0
unassigned_transcript_39	L0F63_001925	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_001926-T1_mrna	L0F63_001926	38.022404	131.756347	10.274354	100.624703	26.889278	23.400053
unassigned_transcript_40	L0F63_001950	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_001966-T1_mrna	L0F63_001966	139.753761	217.195523	15.168132	125.86571	60.21729	40.556415
gnl|WGS:JAKSZP|L0F63_001995-T1_mrna	L0F63_001995	25.653212	690.209749	7.383044	604.748965	4.390715	9.092317
gnl|WGS:JAKSZP|L0F63_002011-T1_mrna	L0F63_002011	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_002024-T1_mrna	L0F63_002024	25.777912	28.022883	12.775378	36.050826	14.348054	13.966654
unassigned_transcript_41	L0F63_002037	0	0	0	0	0	0
unassigned_transcript_42	L0F63_002038	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_002077-T1_mrna	L0F63_002077	442.405307	715.372477	501.141793	667.511144	490.56509	503.269993
gnl|WGS:JAKSZP|L0F63_002078-T1_mrna	L0F63_002078	0	0	0	0	0	0
unassigned_transcript_43	L0F63_002103	0	0	0	0	0	0
unassigned_transcript_44	L0F63_002119	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_002141-T1_mrna	L0F63_002141	94.485237	368.557379	53.921244	314.474303	89.088015	98.372632
gnl|WGS:JAKSZP|L0F63_002156-T1_mrna	L0F63_002156	0	0	0	0	0	0
unassigned_transcript_45	L0F63_002189	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_002202-T1_mrna	L0F63_002202	155.861073	47.269719	165.531005	64.290869	193.728772	193.474205
unassigned_transcript_46	L0F63_002219	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_002220-T1_mrna	L0F63_002220	77.389113	268.338405	16.429735	278.520854	34.333561	32.479143
gnl|WGS:JAKSZP|L0F63_002250-T1_mrna	L0F63_002250	302.594207	165.405746	458.123639	135.292511	336.601294	298.77569
gnl|WGS:JAKSZP|L0F63_002251-T1_mrna	L0F63_002251	130.414281	71.384522	181.211368	89.570302	119.130448	107.45501
unassigned_transcript_47	L0F63_002294	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_002332-T1_mrna	L0F63_002332	869.328443	727.377788	983.048751	780.992173	915.815218	815.974749
gnl|WGS:JAKSZP|L0F63_002372-T1_mrna	L0F63_002372	0.317881	0	0.97611	0	0.562421	0.165257
unassigned_transcript_48	L0F63_002399	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_002406-T1_mrna	L0F63_002406	23.703843	94.015138	7.657983	100.028129	18.696903	15.453027
unassigned_transcript_49	L0F63_002417	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_002441-T1_mrna	L0F63_002441	9.162589	152.069757	1.630989	87.815252	36.977017	2.460552
unassigned_transcript_50	L0F63_002442	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_002453-T1_mrna	L0F63_002453	105.767594	137.218214	84.053163	121.849991	116.836307	102.468986
gnl|WGS:JAKSZP|L0F63_002454-T1_mrna	L0F63_002454	63.95078	108.923833	46.254681	99.64097	82.736671	79.624451
gnl|WGS:JAKSZP|L0F63_002467-T1_mrna	L0F63_002467	62.724651	157.363714	75.521894	121.020107	51.78463	67.25432
gnl|WGS:JAKSZP|L0F63_002468-T1_mrna	L0F63_002468	1551.5979	0	2274.506922	0.254383	2784.208794	2241.617109
unassigned_transcript_51	L0F63_002480	0	0	0	0	0	0
unassigned_transcript_52	L0F63_002500	0	0	0	0	0	0
unassigned_transcript_53	L0F63_002514	0	0	0	0	0	0
unassigned_transcript_54	L0F63_002560	0	0	0	0	0	0
unassigned_transcript_55	L0F63_002572	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_002573-T1_mrna	L0F63_002573	684.977824	404.687359	1270.765495	67.268592	1923.594946	774.708562
gnl|WGS:JAKSZP|L0F63_002594-T1_mrna	L0F63_002594	55.585091	153.383502	43.818151	125.698654	45.976597	42.267925
gnl|WGS:JAKSZP|L0F63_002616-T1_mrna	L0F63_002616	17.355507	73.218236	9.988495	64.531446	13.97982	16.609359
gnl|WGS:JAKSZP|L0F63_002668-T1_mrna	L0F63_002668	80.076504	51.567941	80.174093	35.008548	85.102724	84.102847
gnl|WGS:JAKSZP|L0F63_002669-T1_mrna	L0F63_002669	200.464929	83.788353	196.923822	97.620056	271.374566	253.196703
unassigned_transcript_56	L0F63_002681	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_002693-T1_mrna	L0F63_002693	108.014978	231.626317	80.033655	272.233878	95.246149	82.310067
gnl|WGS:JAKSZP|L0F63_002704-T1_mrna	L0F63_002704	101.537863	227.21385	69.421887	197.807601	110.092604	88.420979
gnl|WGS:JAKSZP|L0F63_002705-T1_mrna	L0F63_002705	363.141868	358.515194	298.129205	243.062325	94.743845	221.148005
gnl|WGS:JAKSZP|L0F63_002755-T1_mrna	L0F63_002755	3.713957	0.297655	53.519995	1.511547	17.634443	9.626192
unassigned_transcript_57	L0F63_002802	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_002803-T1_mrna	L0F63_002803	55.299523	154.538332	46.249689	169.522552	23.405827	32.537254
gnl|WGS:JAKSZP|L0F63_002823-T1_mrna	L0F63_002823	35.725884	46.540064	3.715848	36.354878	21.714148	25.64944
gnl|WGS:JAKSZP|L0F63_002835-T1_mrna	L0F63_002835	17.115632	46.58809	15.874877	62.825006	21.949004	15.934057
gnl|WGS:JAKSZP|L0F63_002850-T1_mrna	L0F63_002850	144.165284	205.176181	151.129315	198.512901	150.864224	130.158606
unassigned_transcript_58	L0F63_002865	0	0	0	0	0	0
unassigned_transcript_59	L0F63_002876	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_002877-T1_mrna	L0F63_002877	117.008442	101.8195	57.088787	67.313165	151.366689	101.080003
gnl|WGS:JAKSZP|L0F63_002902-T1_mrna	L0F63_002902	122.305735	249.367151	26.081982	435.406346	55.415377	57.71222
unassigned_transcript_60	L0F63_002923	0	0	0	0	0	0
unassigned_transcript_61	L0F63_002924	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_002932-T1_mrna	L0F63_002932	109.257802	336.972494	79.515477	367.902236	110.251072	104.06207
gnl|WGS:JAKSZP|L0F63_002942-T1_mrna	L0F63_002942	43.927009	79.882614	35.618511	73.818244	48.690518	45.1858
unassigned_transcript_62	L0F63_002948	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_002949-T1_mrna	L0F63_002949	16.359773	45.237697	11.967313	34.293146	12.080416	11.591284
gnl|WGS:JAKSZP|L0F63_002950-T1_mrna	L0F63_002950	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_002951-T1_mrna	L0F63_002951	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_002952-T1_mrna	L0F63_002952	0.284608	0	0	0.145342	0.167492	0
gnl|WGS:JAKSZP|L0F63_002953-T1_mrna	L0F63_002953	0.482841	0	0	1.852517	0	0
gnl|WGS:JAKSZP|L0F63_002954-T1_mrna	L0F63_002954	109.184356	105.040383	136.871606	79.55641	129.623739	133.970703
unassigned_transcript_63	L0F63_002975	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_002976-T1_mrna	L0F63_002976	5.314209	18.186773	1.164612	8.582033	1.008428	0.593233
gnl|WGS:JAKSZP|L0F63_002998-T1_mrna	L0F63_002998	14.282259	0.138817	10.29863	3.482295	8.328326	9.114478
gnl|WGS:JAKSZP|L0F63_003031-T1_mrna	L0F63_003031	111.534522	121.711058	96.894439	198.77547	108.840727	114.977693
gnl|WGS:JAKSZP|L0F63_003032-T1_mrna	L0F63_003032	131.478807	48.281339	109.449137	56.064671	87.679317	119.38272
gnl|WGS:JAKSZP|L0F63_003048-T1_mrna	L0F63_003048	68.008042	114.98042	50.676117	67.274689	70.503061	71.508746
gnl|WGS:JAKSZP|L0F63_003076-T1_mrna	L0F63_003076	73.325985	89.017737	27.264473	66.056158	52.535159	63.323724
unassigned_transcript_64	L0F63_003115	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_003116-T1_mrna	L0F63_003116	145.679469	154.820942	30.132148	265.878917	47.404444	71.596867
gnl|WGS:JAKSZP|L0F63_003143-T1_mrna	L0F63_003143	1000.466132	1080.270567	861.329261	936.852364	1216.226289	1081.452659
unassigned_transcript_65	L0F63_003158	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_003159-T1_mrna	L0F63_003159	21.49661	56.752926	7.620576	45.938861	17.028568	19.870733
gnl|WGS:JAKSZP|L0F63_003183-T1_mrna	L0F63_003183	0	0	0	0	0	0
unassigned_transcript_66	L0F63_003184	0	0	0	0	0	0
unassigned_transcript_67	L0F63_003211	0	0	0	0	0	0
unassigned_transcript_68	L0F63_003219	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_003220-T1_mrna	L0F63_003220	141.659341	150.058416	91.730351	124.684173	167.857082	139.618256
gnl|WGS:JAKSZP|L0F63_003225-T1_mrna	L0F63_003225	23.202002	32.730003	8.949488	31.545199	39.152878	21.494521
unassigned_transcript_69	L0F63_003240	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_003254-T1_mrna	L0F63_003254	25.287362	39.090288	15.36833	32.432335	21.884114	29.945974
gnl|WGS:JAKSZP|L0F63_003255-T1_mrna	L0F63_003255	35.568491	73.710947	23.978331	65.316571	33.551693	31.280336
gnl|WGS:JAKSZP|L0F63_003265-T1_mrna	L0F63_003265	12.813512	17.314086	2.323707	36.023972	6.576508	1.790851
unassigned_transcript_70	L0F63_003277	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_003316-T1_mrna	L0F63_003316	61.909985	184.188354	62.256234	230.266374	74.764257	9.564476
unassigned_transcript_71	L0F63_003317	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_003324-T1_mrna	L0F63_003324	13.885855	5.717217	5.996718	6.925348	6.712834	5.470667
unassigned_transcript_72	L0F63_003335	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_003346-T1_mrna	L0F63_003346	0	0	0	0	0	0
unassigned_transcript_73	L0F63_003357	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_003410-T1_mrna	L0F63_003410	334.6093	488.916051	605.981093	522.919862	704.309291	272.726238
gnl|WGS:JAKSZP|L0F63_003436-T1_mrna	L0F63_003436	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_003456-T1_mrna	L0F63_003456	276.124165	308.11414	59.670808	414.034231	68.892076	134.398189
gnl|WGS:JAKSZP|L0F63_003473-T1_mrna	L0F63_003473	10.986342	19.43326	5.185305	19.989909	14.406679	9.525691
gnl|WGS:JAKSZP|L0F63_003502-T1_mrna	L0F63_003502	39.365261	74.309621	8.061395	69.709036	19.596138	18.174982
unassigned_transcript_74	L0F63_003515	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_003534-T1_mrna	L0F63_003534	15.156017	27.024106	3.654679	23.097162	9.414394	10.972415
gnl|WGS:JAKSZP|L0F63_003535-T1_mrna	L0F63_003535	109.99565	123.753617	51.752145	112.545884	101.639615	100.703432
unassigned_transcript_75	L0F63_003543	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_003567-T1_mrna	L0F63_003567	4.855856	0.414571	4.299402	0.123807	5.431766	7.974129
unassigned_transcript_76	L0F63_003579	0	0	0	0	0	0
unassigned_transcript_77	L0F63_003623	0	0	0	0	0	0
unassigned_transcript_78	L0F63_003678	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_003712-T1_mrna	L0F63_003712	317.371008	271.968029	365.828946	182.796015	591.951243	330.589912
gnl|WGS:JAKSZP|L0F63_003713-T1_mrna	L0F63_003713	342.466207	321.159039	413.898361	223.973928	713.328909	387.106898
gnl|WGS:JAKSZP|L0F63_003714-T1_mrna	L0F63_003714	7.776784	31.753311	7.443917	12.641776	10.370844	10.192465
unassigned_transcript_79	L0F63_003722	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_003723-T1_mrna	L0F63_003723	130.026506	839.212872	155.55861	4602.171455	238.06822	68.092224
gnl|WGS:JAKSZP|L0F63_003731-T1_mrna	L0F63_003731	36.51477	121.517421	7.456469	77.916832	21.450775	16.727356
gnl|WGS:JAKSZP|L0F63_003738-T1_mrna	L0F63_003738	47.223512	64.466362	25.500524	68.376817	65.891882	48.904021
gnl|WGS:JAKSZP|L0F63_003754-T1_mrna	L0F63_003754	98.347571	245.418429	83.289302	252.952705	118.455924	96.759749
gnl|WGS:JAKSZP|L0F63_003755-T1_mrna	L0F63_003755	50.437236	171.004441	48.506747	129.846217	30.883559	38.976998
unassigned_transcript_80	L0F63_003770	0	0	0	0	0	0
unassigned_transcript_81	L0F63_003771	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_003780-T1_mrna	L0F63_003780	92.81272	0.222598	211.238588	1.195927	266.754829	91.972638
gnl|WGS:JAKSZP|L0F63_003797-T1_mrna	L0F63_003797	72.380316	64.301965	114.303166	47.910283	89.031269	100.387238
unassigned_transcript_82	L0F63_003798	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_003825-T1_mrna	L0F63_003825	45.511649	122.575425	11.14886	127.349881	37.519272	30.031267
unassigned_transcript_83	L0F63_003826	0	0	0	0	0	0
unassigned_transcript_84	L0F63_003854	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_003876-T1_mrna	L0F63_003876	44.503226	51.042269	16.870489	43.516854	32.617256	36.379432
gnl|WGS:JAKSZP|L0F63_003877-T1_mrna	L0F63_003877	67.529075	204.434243	74.139005	239.362989	61.592765	58.598874
gnl|WGS:JAKSZP|L0F63_003889-T1_mrna	L0F63_003889	486.094595	1046.853544	1123.963364	1368.612318	31.005385	333.333688
unassigned_transcript_85	L0F63_003890	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_003896-T1_mrna	L0F63_003896	188.861192	377.424732	45.729104	507.100399	85.048786	95.953201
gnl|WGS:JAKSZP|L0F63_003926-T1_mrna	L0F63_003926	184.788178	262.685054	211.863916	118.21578	225.30464	207.259406
unassigned_transcript_86	L0F63_003932	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_003933-T1_mrna	L0F63_003933	3.050996	219.711177	10.866759	54.412752	37.374217	0.803585
gnl|WGS:JAKSZP|L0F63_003938-T1_mrna	L0F63_003938	2.69473	2.038003	10.032437	5.819634	0	0
